hub,intervention_type,donor,report_date,distribution_date,planned_implemented,activity,regularity,duration_assistance,quantity,unit,families,beneficiaries,rapid_assessment,governorate,district,sub_district,site,village_camps,camp_name,reception_centre_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,location_pcode,location_type,longitude_x,latitude_y,partner_code
NWS,Earthquake,Private donor,2023-03-08T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Free Bread Distribution,One Off Distribution,1,1,KG,650,3250,N/A,Idleb,Harim,Dana,Dana (Dana),In the Village,NA,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,NA
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,12,KG,49,245,N/A,Idleb,Harim,Salqin,Salqin,In the Village,NA,NA,SY07,SY0703,SY070302,C4140,C4140,Community,36.453694,36.139048,NA
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,12,KG,51,255,N/A,Idleb,Harim,Harim,Harim,In the Village,NA,NA,SY07,SY0703,SY070300,C4115,C4115,Community,36.520746,36.212594,NA
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,12,KG,91,455,N/A,Aleppo,Jebel Saman,Atareb,Atareb,In the Village,NA,NA,SY02,SY0200,SY020001,C1022,C1022,Community,36.828382,36.137884,NA
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,12,KG,100,500,N/A,Aleppo,Afrin,Jandairis,Jandairis,In the Village,NA,NA,SY02,SY0203,SY020302,C1426,C1426,Community,36.689563,36.392488,NA
NWS,Earthquake,Private donor,2023-02-12T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Cooked Meals,NA,1,3,KG,500,2500,Yes,Aleppo,Al Bab,Al Bab,Al Bab,In the Village,NA,NA,SY02,SY0202,SY020200,C1202,C1202,Community,37.514925,36.369722,CBR-041
NWS,Earthquake,Private donor,2023-02-14T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Cooked Meals,NA,9,1,KG,750,1500,Yes,Idleb,Harim,Dana,Dana (Dana),Village & Camps,NA,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,NA
NWS,Earthquake,Private donor,2023-02-14T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Cooked Meals,NA,9,1,KG,750,1500,Yes,Aleppo,Afrin,Afrin,Afrin (Afrin),Village & Camps,NA,NA,SY02,SY0203,SY020300,C1366,C1366,Community,36.865523,36.511094,NA
NWS,Earthquake,N/A,2023-02-09T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Cooked Meals,NA,1,0.25,KG,700,3500,Yes,Aleppo,Afrin,Jandairis,Jandairis,In the Village,NA,NA,SY02,SY0203,SY020302,C1426,C1426,Community,36.689563,36.392488,CBR-037
NWS,Earthquake,Private donor,2023-02-07T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Cooked Meals,NA,1,1,KG,250,1250,Yes,Aleppo,Jebel Saman,Atareb,Atareb,In the Village,NA,NA,SY02,SY0200,SY020001,C1022,C1022,Community,36.828382,36.137884,NA
