hub,intervention_type,donor,report_date,distribution_date,planned_implemented,activity,regularity,duration_assistance,quantity,unit,families,beneficiaries,rapid_assessment,governorate,district,sub_district,site,village_camps,camp_name,reception_centre_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,location_pcode,location_type,longitude_x,latitude_y,partner_code
NWS,Earthquake,N/A,2023-02-08T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.455,KG,67,402,Yes,Aleppo,Jebel Saman,Atareb,Atareb,In the Village,NA,NA,SY02,SY0200,SY020001,C1022,C1022,Community,36.828382,36.137884,CBR-035
NWS,Earthquake,N/A,2023-02-08T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.455,KG,79,474,Yes,Idleb,Harim,Armanaz,Armanaz,In the Camp,مخيم زمار,NA,SY07,SY0703,SY070305,C4176,C4176,Community,36.502023,36.084016,CBR-035
NWS,Earthquake,N/A,2023-02-08T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.455,KG,80,480,Yes,Idleb,Harim,Salqin,Azmarin,In the Camp,مخيم سوق الهال,NA,SY07,SY0703,SY070302,C4143,C4143,Community,36.401422,36.055985,CBR-035
NWS,Earthquake,N/A,2023-02-08T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.455,KG,80,480,Yes,Idleb,Harim,Salqin,Azmarin,In the Camp,مخيم طريق بتيا,NA,SY07,SY0703,SY070302,C4143,C4143,Community,36.401422,36.055985,CBR-035
NWS,Earthquake,N/A,2023-02-08T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.455,KG,134,804,Yes,Idleb,Harim,Salqin,Azmarin,In the Village,NA,NA,SY07,SY0703,SY070302,C4143,C4143,Community,36.401422,36.055985,CBR-035
NWS,Earthquake,N/A,2023-02-08T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.455,KG,150,900,Yes,Idleb,Harim,Kafr Takharim,Kafr Takharim,In the Village,NA,NA,SY07,SY0703,SY070303,C4157,C4157,Community,36.51543,36.116497,CBR-035
NWS,Earthquake,N/A,2023-02-08T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.455,KG,158,948,Yes,Aleppo,Jebel Saman,Atareb,Atareb,In the Village,NA,NA,SY02,SY0200,SY020001,C1022,C1022,Community,36.828382,36.137884,CBR-035
NWS,Earthquake,N/A,2023-02-08T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.455,KG,250,1500,Yes,Idleb,Harim,Qourqeena,Qourqeena,In the Village,NA,NA,SY07,SY0703,SY070304,C4174,C4174,Community,36.61267,36.138546,CBR-035
NWS,Earthquake,N/A,2023-02-08T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.455,KG,250,1500,Yes,Idleb,Harim,Qourqeena,Barisha,In the Camp,مخيمات باريشا,NA,SY07,SY0703,SY070304,C4164,C4164,Community,36.636461,36.165243,CBR-035
NWS,Earthquake,N/A,2023-02-08T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.455,KG,300,1800,Yes,Idleb,Idleb,Idleb,Idleb,In the Village,NA,NA,SY07,SY0700,SY070000,C3871,C3871,Community,36.635276,35.929008,CBR-035
NWS,Earthquake,N/A,2023-02-08T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.455,KG,400,2400,Yes,Idleb,Jisr-Ash-Shugur,Janudiyeh,Foz - Zuf,In the Camp,مخيم وتوزع عشوائي,NA,SY07,SY0704,SY070403,C4263,C4263,Community,36.234349,35.941613,CBR-035
NWS,Earthquake,Save The Children,2023-02-08T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.455,KG,805,4830,Yes,Idleb,Harim,Dana,Sarmada,In the Village,NA,NA,SY07,SY0703,SY070301,C4121,C4121,Community,36.723929,36.186604,CBR-035
NWS,Earthquake,Private donor,2023-02-11T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.455,KG,200,1000,Yes,Idleb,Harim,Salqin,Salqin,In the Camp,NA,NA,SY07,SY0703,SY070302,C4140,C4140,Community,36.453694,36.139048,NA
NWS,Earthquake,Private donor,2023-02-12T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,1,3,KG,100,700,Yes,Idleb,Harim,Harim,Harim,In the Village,NA,NA,SY07,SY0703,SY070300,C4115,C4115,Community,36.520746,36.212594,CBR-045
NWS,Earthquake,WHH,2023-02-09T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.4,KG,10,48,Yes,Idleb,Harim,Dana,Termanin,In the Village,Omar Al Muktar school,NA,SY07,SY0703,SY070301,C4125,C4125,Community,36.815206,36.228402,NA
NWS,Earthquake,WHH,2023-02-10T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.4,KG,30,173,Yes,Idleb,Harim,Dana,Termanin,In the Camp,Wadi Al Raseef settlement,NA,SY07,SY0703,SY070301,C4125,C4125,Community,36.815206,36.228402,NA
NWS,Earthquake,N/A,2023-02-21T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,1,5,KG,2,10,Yes,Aleppo,A'zaz,A'zaz,Kaljibrin,In the Village,NA,NA,SY02,SY0204,SY020400,C1575,C1575,Community,37.116102,36.537162,NA
NWS,Earthquake,N/A,2023-02-21T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,1,5,KG,22,110,Yes,Idleb,Jisr-Ash-Shugur,Janudiyeh,Nasra (Janudiyeh),In the Village,NA,NA,SY07,SY0704,SY070403,C4262,C4262,Community,36.259142,35.960627,NA
NWS,Earthquake,N/A,2023-02-21T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,1,5,KG,40,200,Yes,Idleb,Harim,Dana,Mashhad Ruhin,In the Village,NA,NA,SY07,SY0703,SY070301,C6692,C6692,Community,36.744321,36.269416,NA
NWS,Earthquake,N/A,2023-02-21T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,1,5,KG,51,255,Yes,Aleppo,Jebel Saman,Daret Azza,Daret Azza,In the Village,NA,NA,SY02,SY0200,SY020004,C1139,C1139,Community,36.851091,36.285021,NA
NWS,Earthquake,N/A,2023-02-21T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Ready to Eat Ration,NA,1,5,KG,73,365,Yes,Aleppo,Afrin,Sharan,Qatmet Efrin,In the Village,NA,NA,SY02,SY0203,SY020304,C1524,C1524,Community,36.963116,36.587216,NA
NWS,Earthquake,Norwegian Refugee Council,2023-02-20T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cash Response,NA,30,150,USD,2000,1504,N/A,Idleb,Harim,Harim,Harim,In the Village,NA,NA,SY07,SY0703,SY070300,C4115,C4115,Community,36.520746,36.212594,CBR-032
NWS,Earthquake,Norwegian Refugee Council,2023-02-20T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cash Response,NA,30,150,USD,2000,1548,N/A,Idleb,Harim,Salqin,Salqin,In the Village,NA,NA,SY07,SY0703,SY070302,C4140,C4140,Community,36.453694,36.139048,CBR-032
NWS,Earthquake,Private donor,2023-02-23T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,NA,1,1,KG,140,700,N/A,Aleppo,Afrin,Jandairis,Jandairis,In the Village,حي التلال,NA,SY02,SY0203,SY020302,C1426,C1426,Community,36.689563,36.392488,CBR-043
NWS,Earthquake,WHH,2023-02-13T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Free Bread Distribution,NA,6,NA,KG,1100,6600,N/A,Aleppo,A'zaz,A'zaz,Azaz,In the Village,NA,NA,SY02,SY0204,SY020400,C1564,C1564,Community,37.04316,36.584872,NA
NWS,Earthquake,Internal fund,2023-02-09T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Free Bread Distribution,NA,4,2,KG,300,1500,N/A,Idleb,Harim,Dana,Dana (Dana),In the Village,in collective temporary tents,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-044
NWS,Earthquake,Mercy Without Limits (MWL),2023-02-09T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Free Bread Distribution,NA,4,2,KG,700,3500,N/A,Idleb,Harim,Harim,Harim,In the Village,in collective temporary tents,NA,SY07,SY0703,SY070300,C4115,C4115,Community,36.520746,36.212594,CBR-044
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,10,50,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Ehsan 1 camp,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,15,75,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Aby Al Fedaa camp,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,4,20,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Ehsas 1 camp,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,7,35,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Atfalona Tonashedokom,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,18,90,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,AL Adham,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,6,30,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Al Asbat camp,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,4,20,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Al Andalous camp,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,4,20,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Al ikhlas Ameh,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,6,30,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Al Hamzah camp,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,6,30,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,al khalil,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,3,15,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,AL rahma camp ATAA,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,12,60,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,al raheel,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,10,50,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,AL Reef North camp,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,9,45,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Al Oamr camp,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,8,40,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,al majed,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,9,45,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Al Wafaa camp ATAA,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,11,55,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Om Al shohadaa camp,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,12,60,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,khalid ibn alwaleed,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,4,20,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Zamzm1,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,4,20,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Zamzm2,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,9,45,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Saeedona camp,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,10,50,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Kfr Nabodah al mankoob,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,4,20,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Souran camp,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,Private donor,2023-02-08T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.455,KG,500,2500,N/A,Aleppo,Afrin,Jandairis,Jandairis,In the Village,NA,NA,SY02,SY0203,SY020302,C1426,C1426,Community,36.689563,36.392488,NA
NWS,Earthquake,MSF France,2023-02-15T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Free Bread Distribution,NA,1,1,KG,300,1631,No,Aleppo,Afrin,Jandairis,Jandairis,In the Camp,NA,NA,SY02,SY0203,SY020302,C1426,C1426,Community,36.689563,36.392488,NA
NWS,Earthquake,Private donor,2023-02-11T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Free Bread Distribution,NA,1,0.9,KG,300,1532,No,Idleb,Harim,Dana,Dana (Dana),In the Camp,NA,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,NA
NWS,Earthquake,Private donor,2023-02-13T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,NA,10,25,KG,35,175,No,Aleppo,Al Bab,Al Bab,Al Bab,In the Camp,Al Sarqiya Camp,NA,SY02,SY0202,SY020200,C1202,C1202,Community,37.514925,36.369722,NA
NWS,Earthquake,WHH,2023-02-11T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.455,KG,350,1750,No,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,In the Village,NA,NA,SY07,SY0704,SY070400,C4199,C4199,Community,36.314953,35.814181,NA
NWS,Earthquake,ECHO,2023-02-12T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cash Response,NA,30,150,USD,93,510,Yes,Idleb,Harim,Dana,Atma,In the Camp,Collective Center,NA,SY07,SY0703,SY070301,C4130,C4130,Community,36.689846,36.309771,CBR-031
NWS,Earthquake,ECHO,2023-02-12T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cash Response,NA,30,150,USD,107,579,Yes,Aleppo,Jebel Saman,Atareb,Atareb,In the Camp,Collective Center,NA,SY02,SY0200,SY020001,C1022,C1022,Community,36.828382,36.137884,CBR-031
NWS,Earthquake,Private donor,2023-02-12T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cash Response,NA,30,150,USD,68,360,Yes,Idleb,Harim,Dana,Atma,In the Camp,Collective Center,NA,SY07,SY0703,SY070301,C4130,C4130,Community,36.689846,36.309771,CBR-031
NWS,Earthquake,Private donor,2023-02-12T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cash Response,NA,30,150,USD,80,442,Yes,Aleppo,Jebel Saman,Atareb,Atareb,In the Camp,Collective Center,NA,SY02,SY0200,SY020001,C1022,C1022,Community,36.828382,36.137884,CBR-031
NWS,Earthquake,Mercy Without Limits (MWL),2023-02-10T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cash Response Low,NA,15,25,USD,180,850,Yes,Aleppo,Afrin,Jandairis,Jandairis,In the Village,حي الفيلات,NA,SY02,SY0203,SY020302,C1426,C1426,Community,36.689563,36.392488,CBR-039
NWS,Earthquake,ECHO,2023-02-12T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cash Response Low,NA,30,60,USD,60,420,Yes,Aleppo,Afrin,Jandairis,Jandairis,In the Camp,NA,NA,SY02,SY0203,SY020302,C1426,C1426,Community,36.689563,36.392488,CBR-045
NWS,Earthquake,N/A,2023-02-12T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cash Response Low,NA,30,45,USD,5,25,Yes,Aleppo,Jebel Saman,Atareb,Atareb,In the Village,NA,NA,SY02,SY0200,SY020001,C1022,C1022,Community,36.828382,36.137884,CBR-037
NWS,Earthquake,N/A,2023-02-12T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cash Response Low,NA,30,45,USD,6,30,Yes,Idleb,Harim,Dana,Termanin,In the Village,NA,NA,SY07,SY0703,SY070301,C4125,C4125,Community,36.815206,36.228402,CBR-037
NWS,Earthquake,WHH,2023-02-12T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,NA,1,3,KG,300,1500,Yes,Idleb,Harim,Dana,Atma,In the Camp,(Kafrnbooda Alhurra - Iqra Atma - Iqra Qah - Sham Sharif )Collective Centers,NA,SY07,SY0703,SY070301,C4130,C4130,Community,36.689846,36.309771,CBR-041
NWS,Earthquake,WHH,2023-02-12T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,NA,1,3,KG,700,3500,Yes,Aleppo,A'zaz,A'zaz,Azaz,In the Village,Collective Centers,NA,SY02,SY0204,SY020400,C1564,C1564,Community,37.04316,36.584872,CBR-041
NWS,Earthquake,Private donor,2023-03-07T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,One Off Distribution,1,2,KG,72,381,Yes,Idleb,Harim,Dana,Qah,In the Village,اقرأ النموذجي,NA,SY07,SY0703,SY070301,C4131,C4131,Community,36.725165,36.296273,NA
NWS,Earthquake,Private donor,2023-03-07T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,One Off Distribution,1,2,KG,39,197,Yes,Idleb,Harim,Dana,Qah,In the Village,شام شريف,NA,SY07,SY0703,SY070301,C4131,C4131,Community,36.725165,36.296273,NA
NWS,Earthquake,Private donor,2023-03-07T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,One Off Distribution,1,2,KG,51,213,Yes,Idleb,Harim,Dana,Atma,In the Village,اقرأ النموذجي,NA,SY07,SY0703,SY070301,C4130,C4130,Community,36.689846,36.309771,NA
NWS,Earthquake,Private donor,2023-03-07T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,One Off Distribution,1,2,KG,31,155,Yes,Idleb,Harim,Dana,Sarjableh,In the Village,مدرسة سرجبلة,NA,SY07,SY0703,SY070301,C7427,C7427,Community,36.717405,36.239619,NA
NWS,Earthquake,Private donor,2023-03-07T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,One Off Distribution,1,2,KG,40,199,Yes,Idleb,Harim,Dana,Kafr Kafaldin,In the Village,مرج ساعد,NA,SY07,SY0703,SY070301,C8092,C8092,Community,36.713443,36.255669,NA
NWS,Earthquake,Private donor,2023-03-07T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,One Off Distribution,1,2,KG,20,113,Yes,Idleb,Harim,Dana,Kafr Kafaldin,In the Village,مدرسة سكن,NA,SY07,SY0703,SY070301,C8092,C8092,Community,36.713443,36.255669,NA
NWS,Earthquake,N/A,2023-02-11T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,NA,1,4,KG,200,1000,Yes,Idleb,Harim,Dana,Dana (Dana),In the Village,NA,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,NA
NWS,Earthquake,N/A,2023-02-11T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,NA,1,4,KG,200,1000,Yes,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,In the Village,NA,NA,SY07,SY0704,SY070400,C4199,C4199,Community,36.314953,35.814181,NA
NWS,Earthquake,N/A,2023-02-11T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,NA,1,4,KG,370,1850,Yes,Idleb,Harim,Salqin,Salqin,In the Village,NA,NA,SY07,SY0703,SY070302,C4140,C4140,Community,36.453694,36.139048,NA
NWS,Earthquake,N/A,2023-02-11T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,NA,1,4,KG,750,3750,Yes,Idleb,Idleb,Idleb,Idleb,In the Village,NA,NA,SY07,SY0700,SY070000,C3871,C3871,Community,36.635276,35.929008,NA
NWS,Earthquake,N/A,2023-02-11T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,NA,1,4,KG,1480,7400,Yes,Aleppo,Afrin,Jandairis,Jandairis,In the Village,NA,NA,SY02,SY0203,SY020302,C1426,C1426,Community,36.689563,36.392488,NA
NWS,Earthquake,Qatar Charity,2023-02-23T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,NA,1,2.5,KG,1150,5750,Yes,Aleppo,Afrin,Jandairis,Jandairis,Village & Camps,NA,NA,SY02,SY0203,SY020302,C1426,C1426,Community,36.689563,36.392488,NA
NWS,Earthquake,Private donor,2023-02-14T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,NA,2,3,KG,400,1200,Yes,Aleppo,Afrin,Jandairis,Jandairis,In the Village,NA,NA,SY02,SY0203,SY020302,C1426,C1426,Community,36.689563,36.392488,NA
NWS,Earthquake,Core,2023-02-11T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,NA,1,1,KG,554,2770,Yes,Aleppo,Afrin,Jandairis,Jandairis,In the Village,-,NA,SY02,SY0203,SY020302,C1426,C1426,Community,36.689563,36.392488,CBR-037
NWS,Earthquake,N/A,2023-02-12T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,NA,1,3,KG,554,2770,Yes,Aleppo,Afrin,Jandairis,Jandairis,In the Village,NA,NA,SY02,SY0203,SY020302,C1426,C1426,Community,36.689563,36.392488,CBR-037
NWS,Earthquake,Private donor,2023-02-11T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,NA,1,3,KG,200,1000,Yes,Aleppo,Afrin,Jandairis,Jandairis,In the Village,NA,NA,SY02,SY0203,SY020302,C1426,C1426,Community,36.689563,36.392488,NA
NWS,Earthquake,N/A,2023-02-21T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Cooked Meals,NA,1,1,KG,150,750,Yes,Aleppo,Afrin,Sharan,Qatmet Efrin,In the Village,NA,NA,SY02,SY0203,SY020304,C1524,C1524,Community,36.963116,36.587216,NA
NWS,Earthquake,ECHO,2023-02-12T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Food Baskets,NA,30,44,KG,94,470,Yes,Aleppo,Afrin,Afrin,Afrin (Afrin),In the Village,NA,NA,SY02,SY0203,SY020300,C1366,C1366,Community,36.865523,36.511094,NA
NWS,Earthquake,WHH,2023-02-12T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Free Bread Distribution,NA,1,2,KG,500,2500,Yes,Idleb,Jisr-Ash-Shugur,Janudiyeh,Maland,In the Village,NA,NA,SY07,SY0704,SY070403,C4259,C4259,Community,36.274896,35.923495,CBR-041
NWS,Earthquake,N/A,2023-02-11T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Free Bread Distribution,NA,1,1,KG,200,1000,Yes,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,In the Village,NA,NA,SY07,SY0704,SY070400,C4199,C4199,Community,36.314953,35.814181,NA
NWS,Earthquake,N/A,2023-02-11T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Free Bread Distribution,NA,1,1,KG,340,1700,Yes,Idleb,Harim,Salqin,Salqin,In the Village,NA,NA,SY07,SY0703,SY070302,C4140,C4140,Community,36.453694,36.139048,NA
NWS,Earthquake,N/A,2023-02-11T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Free Bread Distribution,NA,1,1,KG,500,2500,Yes,Idleb,Harim,Armanaz,Armanaz,In the Village,NA,NA,SY07,SY0703,SY070305,C4176,C4176,Community,36.502023,36.084016,NA
